Month,Billing Start Date,Billing End Date,kWh cost (cents),kWh Used,Prev Yr Diff.,Billing Days,Avg Daily kWh, Prev Yr. Diff.
February 2018,1/12/2018,2/9/2018,10.81,3669,?1476,29,126,?64
January 2018,12/13/2017,1/11/2018,10.81,5508,?607,30,183,?14
December 2017,11/15/2017,12/12/2017,10.81,2779,?1468,28,99,?47
November 2017,10/13/2017,11/14/2017,10.81,1830,?742,33,55,?25
October 2017,9/14/2017,10/12/2017,10.81,1157,33,29,39,1
September 2017,8/15/2017,9/13/2017,10.81,979,?283,30,32,?6
August 2017,7/15/2017,8/14/2017,10.81,1081,?26,31,34,?4
July 2017,6/13/2017,7/14/2017,10.81,928,?311,32,29,?6
June 2017,5/12/2017,6/12/2017,10.81,1297,220,32,40,2
May 2017,4/12/2017,5/11/2017,10.81,1885,?589,30,62,?17
April 2017,3/14/2017,4/11/2017,10.66,2997,?201,29,103,4
March 2017,2/10/2017,3/13/2017,10.59,5169,1367,32,161,26
February 2017,1/14/2017,2/9/2017,10.59,5145,638,27,190,40
January 2017,12/14/2016,1/13/2017,10.59,6115,2160,31,197,74
December 2016,11/15/2016,12/13/2016,10.59,4247,1334,29,146,46
November 2016,10/14/2016,11/14/2016,10.59,2572,694,32,80,13
October 2016,9/15/2016,10/13/2016,10.59,1124,94,29,38,5
September 2016,8/13/2016,9/14/2016,10.59,1262,?132,33,38,?6
August 2016,7/15/2016,8/12/2016,10.59,1107,15,29,38,4
July 2016,6/10/2016,7/14/2016,10.48,1239,162,35,35,3
June 2016,5/13/2016,6/9/2016,10.42,1077,?81,28,38,?3
May 2016,4/12/2016,5/12/2016,10.42,2474,149,31,79,2
April 2016,3/11/2016,4/11/2016,10.42,3198,?1033,32,99,?33
March 2016,2/12/2016,3/10/2016,10.42,3802,?1380,28,135,?64
February 2016,1/13/2016,2/11/2016,10.42,4507,-,30,150,-
January 2016,12/12/2015,1/12/2015,10.42,3955,-,32,123,-
December 2015,11/13/2015,12/11/2015,10.42,2913,-,29,100,-
November 2015,10/16/2015,11/12/2015,10.42,1878,-,28,67,-
October 2015,9/15/2015,10/15/2015,10.34,1030,-,31,33,-
September 2015,8/15/2015,9/14/2015,10.25,1394,-,31,44,-
August 2015,7/14/2015,8/14/2015,10.25,1092,-,32,34,-
July 2015,6/11/2015,7/13/2015,10.25,1077,-,33,32,-
June 2015,5/14/2015,6/10/2015,10.25,1158,-,28,41,-
May 2015,4/14/2015,5/13/2015,10.25,2325,-,30,77,-
April 2015,3/13/2015,4/13/2015,10.25,4231,-,32,132,-
March 2015,2/15/2015,3/12/2015,10.25,5182,-,26,199,-
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
